(5041,0.19179105758666992)
(5041,0.21203351020812988)
(5041,0.18257498741149902)
(5041,0.19098925590515137)
(5041,0.1936805248260498)
(5041,0.20307445526123047)
(5041,0.20017719268798828)
(5041,0.1967630386352539)
(5041,0.18572187423706055)
(5041,0.1931164264678955)
(5041,0.1816568374633789)
(5041,0.19399523735046387)
(5041,0.17349481582641602)
(5041,0.1737978458404541)
(5041,0.17873096466064453)
(5041,0.1763932704925537)
(5041,0.1945178508758545)
(5041,0.1754915714263916)
(5041,0.18984508514404297)
(5041,0.17565608024597168)
(5041,0.19988799095153809)
(5041,0.17445158958435059)
(5041,0.17690634727478027)
(5041,0.19116640090942383)
(5041,0.19540190696716309)
(5041,0.18888235092163086)
(5041,0.19425320625305176)
(5041,0.17743945121765137)
(5041,0.20721745491027832)
(5041,0.1967623233795166)
(5041,0.1879281997680664)
(5041,0.1843247413635254)
(5041,0.20601320266723633)
(5041,0.2021341323852539)
(5041,0.17790532112121582)
(5041,0.18904638290405273)
(5041,0.20093464851379395)
(5041,0.19413495063781738)
(5041,0.18967986106872559)
(5041,0.18364191055297852)
(10000,0.3914151191711426)
(10000,0.4248228073120117)
(10000,0.4289216995239258)
(10000,0.3848404884338379)
(10000,0.3878824710845947)
(10000,0.3950991630554199)
(10000,0.38657069206237793)
(10000,0.384962797164917)
(10000,0.3906424045562744)
(10000,0.38816022872924805)
(10000,0.38549113273620605)
(10000,0.38775062561035156)
(10000,0.39342236518859863)
(10000,0.37207651138305664)
(10000,0.3920767307281494)
(10000,0.40000367164611816)
(10000,0.39263391494750977)
(10000,0.39715576171875)
(10000,0.3868062496185303)
(10000,0.3852531909942627)
(10000,0.3824474811553955)
(10000,0.3959226608276367)
(10000,0.39484405517578125)
(10000,0.3782680034637451)
(10000,0.3860752582550049)
(10000,0.37905335426330566)
(10000,0.3890800476074219)
(10000,0.3911564350128174)
(10000,0.3776895999908447)
(10000,0.3786463737487793)
(10000,0.39686012268066406)
(10000,0.4028756618499756)
(10000,0.39821791648864746)
(10000,0.3872966766357422)
(10000,0.427945613861084)
(10000,0.3905520439147949)
(10000,0.3918943405151367)
(10000,0.39366579055786133)
(10000,0.39313697814941406)
(10000,0.3932204246520996)
(14884,0.581575870513916)
(14884,0.6204109191894531)
(14884,0.6297588348388672)
(14884,0.5740165710449219)
(14884,0.5696859359741211)
(14884,0.553375244140625)
(14884,0.5674142837524414)
(14884,0.5835011005401611)
(14884,0.6301965713500977)
(14884,0.5815503597259521)
(14884,0.5666205883026123)
(14884,0.6253142356872559)
(14884,0.5764496326446533)
(14884,0.565589189529419)
(14884,0.6190674304962158)
(14884,0.5732131004333496)
(14884,0.5884218215942383)
(14884,0.5752885341644287)
(14884,0.6404237747192383)
(14884,0.5827229022979736)
(14884,0.5631821155548096)
(14884,0.5654106140136719)
(14884,0.5952498912811279)
(14884,0.5683043003082275)
(14884,0.5608193874359131)
(14884,0.5706791877746582)
(14884,0.5728366374969482)
(14884,0.5641865730285645)
(14884,0.6269893646240234)
(14884,0.5883314609527588)
(14884,0.6220285892486572)
(14884,0.6345274448394775)
(14884,0.578728199005127)
(14884,0.6384115219116211)
(14884,0.6344211101531982)
(14884,0.6154012680053711)
(14884,0.5841741561889648)
(14884,0.579298734664917)
(14884,0.5545570850372314)
(14884,0.6295630931854248)
(19881,0.7699687480926514)
(19881,0.8605353832244873)
(19881,0.8904461860656738)
(19881,0.7803928852081299)
(19881,0.8628244400024414)
