(4993,0.1435474157333374)
(10001,0.2958968639373779)
(14993,0.44895215034484864)
(20001,0.6003524661064148)
(24993,0.778430187702179)
(30001,0.9486398220062255)
(34993,1.1274812042713165)
(40001,1.3376676797866822)
(44993,1.4998552441596984)
(50001,1.6413330435752869)
(54993,1.862876147031784)
(60001,2.0089347779750826)
(64993,2.176087909936905)
(70001,2.3697543919086455)
(74993,2.564512723684311)
(80001,2.744199442863464)
(84993,2.979077410697937)
(90001,3.201499181985855)
(94993,3.3987268209457397)
(100001,3.5620452165603638)
(104993,3.8090650498867036)
