(1249,0.04059765338897705)
(2497,0.07361630201339722)
(3745,0.11553304195404053)
(4993,0.15392416715621948)
(6257,0.18538782596588135)
(7505,0.22353304624557496)
(8753,0.27687826156616213)
(10001,0.3202239155769348)
(11249,0.3363016128540039)
(12497,0.38611950874328616)
(13745,0.4237523555755615)
(14993,0.4723936438560486)
(16257,0.5050988078117371)
(17505,0.5443830370903016)
(18753,0.5809603095054626)
(20001,0.6261847376823425)
(21249,0.6638744592666626)
(22497,0.693015193939209)
(23745,0.7412342429161072)
(24993,0.8034999370574951)
(26257,0.8208811402320861)
(27505,0.8719157576560974)
(28753,0.9366021752357483)
(30001,0.9663080692291259)
(31249,1.0231441617012025)
(32497,1.0475189089775085)
(33745,1.1007792830467225)
