(5041,0.18954035639762878)
(10000,0.3921209216117859)
(14884,0.5912924408912659)
(19881,0.8083988130092621)
(24964,1.0405159652233125)
(29929,1.2520910203456879)
(34969,1.4930848956108094)
(40000,1.7317356169223785)
(44944,1.9534167408943177)
(50176,2.146284580230713)
(55225,2.398606562614441)
(60025,2.6231274545192718)
(65025,2.8371837735176086)
(70225,3.128694695234299)
(75076,3.420501339435577)
(80089,3.601732438802719)
(85264,3.903321647644043)
(90000,4.144160664081573)
(94864,4.3608561038970945)
(99856,4.633896154165268)
(104976,4.925754010677338)
